Date,Open,High,Low,Close,Adj Close,Volume
"Jul 24, 2024",105.05,105.86,104.02,104.83,102.67,"7,180,200"
"Jul 23, 2024",103.77,105.58,103.62,104.97,102.81,"7,602,000"
"Jul 22, 2024",102.68,103.82,102.62,103.77,101.64,"6,207,900"
"Jul 19, 2024",104.5,104.5,102.64,102.81,100.7,"7,229,600"
"Jul 18, 2024",105,105.46,103.78,103.84,101.7,"4,450,100"
"Jul 17, 2024",103.82,105.28,103.82,104.99,102.83,"5,433,000"
"Jul 16, 2024",101.87,103.69,101.75,103.68,101.55,"4,341,200"
"Jul 15, 2024",102.29,102.65,101.52,101.62,99.53,"3,776,300"
"Jul 12, 2024",102,102.85,101.02,101.28,99.2,"6,003,000"
"Jul 11, 2024",100.52,102.65,100.22,101.72,99.63,"7,592,400"
"Jul 10, 2024",100.9,101.18,99.42,100.68,98.61,"6,483,600"
"Jul 9, 2024",100.24,101.68,100.02,101.11,99.03,"5,648,900"
"Jul 8, 2024",100.65,101.21,99.98,100.1,98.04,"8,738,100"
"Jul 5, 2024",100.49,100.57,99.56,100.37,98.31,"6,153,300"
"Jul 3, 2024",100.9,101.04,100.38,100.74,98.67,"2,149,200"
"Jul 2, 2024",99.29,100.63,99.07,100.41,98.34,"8,299,900"
"Jul 1, 2024",100.88,101.68,99.31,99.55,97.5,"4,475,200"
"Jun 28, 2024",100.9,100.9,100.06,100.39,98.33,"13,853,200"
"Jun 27, 2024",101.47,101.78,100.43,100.62,98.55,"6,955,400"
"Jun 26, 2024",100.93,101.39,100.15,101.26,99.18,"6,953,800"
"Jun 25, 2024",101.39,102.7,100.03,101.57,99.48,"10,306,700"
"Jun 24, 2024",105.74,107.48,100.94,101.96,99.86,"13,704,800"
"Jun 21, 2024",105.19,106.19,104.68,105.61,103.44,"13,311,900"
"Jun 20, 2024",104.63,105.73,104.55,105.07,102.91,"6,996,400"
"Jun 18, 2024",104.57,105.31,104.38,104.77,102.62,"3,991,300"
